CMDLINE c:\users\zengg\appdata\local\programs\python\python37-32\python.exe main.py
MEM 84.468750 1591676617.7642
MEM 84.781250 1591676617.8645
MEM 85.085938 1591676617.9653
MEM 85.402344 1591676618.0660
MEM 85.820312 1591676618.1667
MEM 85.878906 1591676618.2675
MEM 86.179688 1591676618.3682
MEM 86.484375 1591676618.4689
MEM 86.734375 1591676618.5787
MEM 86.953125 1591676618.6881
MEM 87.167969 1591676618.7974
MEM 87.421875 1591676618.8978
MEM 87.679688 1591676618.9985
MEM 88.015625 1591676619.0993
MEM 88.359375 1591676619.2000
MEM 88.695312 1591676619.3007
MEM 89.074219 1591676619.4015
MEM 89.214844 1591676619.5022
MEM 89.558594 1591676619.6029
MEM 89.968750 1591676619.7036
MEM 90.222656 1591676619.8044
MEM 90.500000 1591676619.9051
MEM 90.789062 1591676620.0059
MEM 91.121094 1591676620.1066
MEM 91.218750 1591676620.2073
MEM 91.769531 1591676620.3081
MEM 92.187500 1591676620.4088
MEM 92.566406 1591676620.5095
MEM 93.050781 1591676620.6103
MEM 93.515625 1591676620.7110
MEM 93.867188 1591676620.8117
MEM 94.156250 1591676620.9125
MEM 94.398438 1591676621.0132
MEM 94.648438 1591676621.1140
MEM 94.957031 1591676621.2147
MEM 95.265625 1591676621.3154
MEM 95.558594 1591676621.4162
MEM 95.832031 1591676621.5169
MEM 96.125000 1591676621.6176
MEM 96.414062 1591676621.7184
MEM 96.675781 1591676621.8301
MEM 96.914062 1591676621.9308
MEM 97.179688 1591676622.0316
MEM 97.468750 1591676622.1323
MEM 97.660156 1591676622.2331
MEM 97.773438 1591676622.3338
MEM 98.000000 1591676622.4345
MEM 98.371094 1591676622.5352
MEM 98.613281 1591676622.6360
MEM 98.960938 1591676622.7367
MEM 103.230469 1591676622.8374
MEM 103.230469 1591676622.9382
MEM 100.402344 1591676623.0389
MEM 100.402344 1591676623.1396
MEM 100.402344 1591676623.2404
MEM 100.402344 1591676623.3411
MEM 100.406250 1591676623.4418
MEM 100.406250 1591676623.5426
MEM 100.406250 1591676623.6433
MEM 100.425781 1591676623.7440
MEM 100.789062 1591676623.8448
MEM 100.789062 1591676623.9455
MEM 100.832031 1591676624.0462
MEM 100.832031 1591676624.1470
MEM 100.832031 1591676624.2477
MEM 100.835938 1591676624.3484
MEM 100.835938 1591676624.4492
MEM 100.835938 1591676624.5499
MEM 100.835938 1591676624.6506
MEM 100.835938 1591676624.7514
MEM 100.835938 1591676624.8521
MEM 100.835938 1591676624.9529
MEM 100.835938 1591676625.0536
MEM 100.835938 1591676625.1543
MEM 100.863281 1591676625.2550
MEM 100.871094 1591676625.3558
MEM 100.953125 1591676625.4565
MEM 100.964844 1591676625.5572
MEM 100.964844 1591676625.6580
MEM 100.968750 1591676625.7587
MEM 100.968750 1591676625.8595
MEM 100.972656 1591676625.9602
MEM 101.152344 1591676626.0610
MEM 101.167969 1591676626.1617
MEM 101.171875 1591676626.2624
MEM 101.175781 1591676626.3632
